c1.diseaseId	c1.name	c2.type	c2.diseaseClassName	c0.Ngenes	c0.diseaseId2	c0.source
C0030567	Parkinson Disease	phenotype	Behavior and Behavior Mechanisms	1	C0424000	ALL
C0030567	Parkinson Disease	disease	Behavior and Behavior Mechanisms ; Nervous System Diseases ; Pathological Conditions, Signs and Symptoms	1	C0424082	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0424621	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0425258	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0425913	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426436	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426439	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426492	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426732	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426801	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426805	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426816	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426817	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426820	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0426826	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0427515	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0427544	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0427546	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0429349	ALL
C0030567	Parkinson Disease	disease	null	1	C0429468	ALL
